输出结果,正确结果,正确率
经嗽和大厦也显示认领提,惊搜狐大厦夜现食人灵体,0.181818
他是最阏氏广,她是罪恶之光,0.166667
迹象风不方调簦合收昭山和,既相逢不妨挑灯呵手照山河,0.166667
府网站厮杀场,斧王战死沙场,0.166667
认为深麽舀水较,人为什么要睡觉,0.142857
策影翻沉着孩说,侧影反衬著海水,0.142857
和方殷小切需行,何妨吟啸且徐行,0.142857
务事人肥市食宿,物是人非事事休,0.142857
主播票等都秭归,珠箔飘灯独自归,0.142857
一芟夷山梁静静,一闪一闪亮晶晶,0.142857
立名侨侨华国天便,黎明悄悄划过天边,0.125
烃含四种生情也佛,听寒寺钟声请野佛,0.125
来岜莱巴和向上海拔,来吧来吧互相伤害吧,0.111111
想象级,香香鸡,0
新入名景泰,心如明镜台,0
名警一腓肽,明镜亦非台,0
政部自哐当,争不恣狂荡,0
和叙伦的桑,何须论得丧,0
子失败一圊向,自是白衣卿相,0
岩画像没,烟花巷陌,0
看汛防,堪寻访,0
评省长,平生畅,0
务于茉莉莎,雾雨魔理沙,0
校和财路见建交,小荷才露尖尖角,0
动枫叶芳华签署,东风夜放花千树,0
桂西柳子瘢痕将,贵系六字班很强,0
作业与庶锋舟,昨夜雨疏风骤,0
声喊一般选,剩寒意盘旋,0
一孟维码,以梦为马,0
将槲叶玉石碾等,江湖夜雨十年灯,0
五十一道,午时已到,0
策是杨立即,测试样例集,0
构负圭吾乡王,苟富贵毋相忘,0
泰晤拉,太污啦,0
有四阮西嘌醇血,游丝软系飘春榭,0
络虚情展溥修炼,落絮轻沾扑绣帘,0
